date;period;year;quarter;credit_pf;credit_card_pf;personal_credit_pf;payroll_credit_pf;vehicle_credit_pf;mortgage_credit_pf;npl90_balance_pf;npl90_pf_rate;npl90_pf_rate_calc;npl15_90_balance_pf;npl15_90_pf_rate;share_cartao_pf;share_credito_pessoal_pf;share_consignado_pf;share_veiculos_pf;share_imobiliario_pf;risk_total_credit;risk_high_share;risk_BH_share;early_delinquency_1_30;severe_delinquency_91_plus;overdue_share;severe_overdue_share;pdd_balance_total;pdd_net_formation;pdd_writeoffs;pdd_to_credit_rate;renegotiated_credit_brazil;renegotiated_overdue_upto30;renegotiated_overdue_above30;reneg_to_credit_rate;npl90_rate_gap
30/06/2021;2021Q2;2021;2;279.697.073;88.321.776;36042.42;59.120.538;25.760.442;70.451.894;10.445.679;0.0362;0.03734640083273235;7.441.011;0.0258;0.3157765472933641;0.12886234243859965;0.21137345974299848;0.09210122123802132;0.2518864185611267;610100.0;0.07554827077528274;0.24200786756269463;2171.0;12880.0;0.023961857762390217;0.017794553043103435;-47810.0;-3170.0;4895.0;0.07836420258973939;32.182.854;12.912.987;23.317.731;0.05275012948696935;-0.0011464008327323472
30/09/2021;2021Q3;2021;3;303.699.565;97.019.101;38.332.986;61.183.552;28.110.634;79.053.289;11.165.299;0.0355;0.036764290393369516;7.659.849;0.0243;0.3194574908265015;0.12622008859314632;0.20146078246769963;0.09256066599897829;0.2603009622354909;642832.0;0.06459074843816114;0.23059212982552207;1506.0;13718.0;0.019278298267076804;0.01787252116157056;-46501.0;-5561.0;4122.0;0.07233771809741892;31.099.649;12.391.185;22.588.375;0.04837912393906962;-0.0012642903933695188
31/12/2021;2021Q4;2021;4;332.577.306;112.095.565;42.009.306;63.183.521;29.691.819;85.597.093;12.817.402;0.0376;0.03853961701163098;9.209.743;0.027;0.3370511546569567;0.12631440943838784;0.18998145652187104;0.08927794670391612;0.25737502666522893;677325.0;0.06385117927139852;0.22954120990661794;1679.0;13924.0;0.019652680954346004;0.016999685010145604;-48931.0;-6609.0;4030.0;0.072241538404754;30.359.815;12.246.019;21.734.766;0.04482311298121286;-0.0009396170116309777
31/03/2022;2022Q1;2022;1;347.350.137;117.034.761;45.171.918;63.960.033;30.978.831;90.204.591;14594.78;0.0411;0.042017487386222054;11.103.242;0.0313;0.33693598629558047;0.13004721515339435;0.1841370599488205;0.08918617757735331;0.2596935523880332;668350.0;0.06624672701428892;0.23436971646592356;2211.0;15613.0;0.022541850560603142;0.01914622526399178;-49840.0;-6923.0;5121.0;0.07457170644123588;30.635.828;12.841.203;20842.61;0.04583800104735543;-0.0009174873862220559
30/06/2022;2022Q2;2022;2;372.388.949;126.349.798;48.227.533;70.558.105;31.957.896;95.295.616;16.842.726;0.0443;0.04522885559635659;11.904.146;0.0313;0.3392952404718111;0.12950849677335619;0.18947421825882377;0.0858185939346981;0.2559034478759465;700952.0;0.058510425820883595;0.20290690375375203;2415.0;15945.0;0.024374287739753055;0.018560963656829958;-51353.0;-7719.0;5948.0;0.07326179253358289;31.374.191;13.300.878;21.042.791;0.044759400073043513;-0.0009288555963565884
30/09/2022;2022Q3;2022;3;384.973.935;128768.4;51.511.133;72.191.521;31.779.073;100.723.806;18.542.807;0.0472;0.04816639599249752;12.674.386;0.0322;0.3344860217614473;0.1338042093680966;0.18752313971593945;0.08254863540306956;0.26163798855629017;720672.0;0.05758097997424626;0.2003116535677812;2157.0;17560.0;0.025110334838544773;0.019948311607168215;-53438.0;-7449.0;5232.0;0.07415023755605879;33.076.789;14.298.628;21.686.427;0.045897147384663196;-0.0009663959924975235
31/12/2022;2022Q4;2022;4;399.332.902;135.077.512;53281.67;73.365.422;31.625.408;105.982.889;20.052.291;0.0492;0.05021447243533166;12.940.678;0.0317;0.3382579079346685;0.13342669670629845;0.18371995303307115;0.07919559806269107;0.26539984175909453;739407.0;0.06260151716172555;0.1980005599081426;2203.0;18174.0;0.025515676658706583;0.020055441034310763;-56590.0;-9142.0;6201.0;0.07653430384078051;34.775.241;14177.24;23.075.745;0.0470312574806568;-0.001014472435331662
31/03/2023;2023Q1;2023;1;402.824.538;130.355.184;56.109.114;74.903.841;32052.04;109.404.357;20.038.345;0.0487;0.049744598726505586;14510.53;0.0353;0.32360288836227746;0.13928921579250964;0.18594656962034423;0.07956824119785871;0.2715930800620691;747484.0;0.06432512267821117;0.2041622295594287;2540.0;19580.0;0.02610961194396146;0.021452150638360347;-56610.0;-8801.0;8999.0;0.0757340625351178;36.323.435;14.618.896;25.222.475;0.04859426422505364;-0.0010445987265055856
30/06/2023;2023Q2;2023;2;405.438.424;128.352.834;58.245.136;74.916.828;32.423.499;111.500.125;20.342.796;0.0493;0.0501748102690928;14.184.787;0.0344;0.31657787324074643;0.14365963498319045;0.18477979284962887;0.07997145085587645;0.27501124313762626;733824.0;0.0615202010291296;0.2039617128902843;2484.0;20267.0;0.026097239916494184;0.022589594319107696;-57334.0;-9703.0;8652.0;0.07813045089830804;37.385.607;14.052.164;26889.51;0.05094628548534799;-0.0008748102690928003
30/09/2023;2023Q3;2023;3;408.010.332;127.741.668;60.713.294;73.848.841;32.761.468;112.945.059;20.375.398;0.0489;0.04993843636293015;13.521.978;0.0324;0.3130843951275234;0.14880332491187995;0.1809974777795578;0.08029568231620174;0.2768191149630005;716053.0;0.05867582427557737;0.20377262576932154;2340.0;20443.0;0.024982051051580894;0.02268502952282984;-57186.0;-9015.0;8876.0;0.0798628034516998;37283.61;13338.88;27.560.572;0.0520682267932681;-0.001038436362930148
31/12/2023;2023Q4;2023;4;415.876.569;135.505.847;60.594.435;73.388.481;33.229.217;113.158.587;18.653.604;0.0439;0.044853702734091755;13.403.881;0.0316;0.3258318864316686;0.14570293090977193;0.17646697715254064;0.07990163302515847;0.27209656767174106;713222.0;0.0571392918333983;0.20361121782558586;2107.0;20219.0;0.023308227587225384;0.022283278338744626;-55380.0;-8636.0;10297.0;0.07764763285484744;35.470.283;12.162.052;26.860.418;0.049732457776120204;-0.0009537027340917534
31/03/2024;2024Q1;2024;1;413.434.264;130.932.375;62455.61;73.453.794;33.797.628;112.794.855;17.547.529;0.0416;0.04244333507877808;14.005.654;0.0332;0.3166945422791566;0.15106539403807132;0.1776674078469703;0.08174849291155993;0.27282415808671334;714291.0;0.05539479007855342;0.21636279891528803;2354.0;21290.0;0.022818123653427985;0.023607632062468745;-54128.0;-9067.0;10120.0;0.07577863923806964;34.588.687;11.767.679;25.853.841;0.048423803463854366;-0.0008433350787780819
30/06/2024;2024Q2;2024;2;418.286.042;130.938.011;63.891.542;74.013.055;34.844.896;114.598.535;17.764.043;0.0418;0.0424686487626092;13.582.388;0.032;0.3130346171101736;0.15274605314226575;0.17694364040003036;0.08330398937863674;0.27397169279676803;750209.0;0.05442216768927059;0.21452022036525822;2301.0;21412.0;0.021947972511063937;0.022659112218269096;-54472.0;-8857.0;9336.0;0.0726090995975788;34.133.423;11.808.894;2.560.859.990.413;0.045498551736915985;-0.0006686487626092058
30/09/2024;2024Q3;2024;3;428.727.827;133.211.087;65.857.108;74.747.786;35.883.103;119028.74;17.605.048;0.0404;0.04106346005854199;13.129.364;0.0301;0.3107124814643767;0.15361052829444632;0.17434787595441056;0.08369669692562318;0.2776324103636968;767277.0;0.051953857602925674;0.21060842433697347;2034.0;20161.0;0.02037932726698052;0.02096156405436428;-51131.0;-6005.0;9335.0;0.06663955781288895;32388.65;11.115.907;2.463.446.528.254;0.04221246042824169;-0.0006634600585419884
31/12/2024;2024Q4;2024;4;444.763.978;142.206.829;65.931.464;74.429.746;36.521.217;125.674.721;17.078.431;0.0378;0.03839886286834138;12.831.827;0.0284;0.31973549125869183;0.1482392173405734;0.1673466145677832;0.08211370256248585;0.28256497202208225;809775.0;0.04927418109968818;0.20728597449908925;2037.0;19606.0;0.018583650887602908;0.01918141928414544;-51596.0;-9157.0;9074.0;0.06371646445000155;31.054.208;10.603.904;24.018.246.810.110.000;0.038349180945324315;-0.0005988628683413766
