Data,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes
2020-09-01,62.763292,218.118068,247.05102097685,3.4752490038285435,3936.2342717276524,1132.6481260454316,40.14592393063706,31.271777,31.491515,7.809632,22.590173,21.90211,10.461377
2020-10-01,62.279786,216.223328,245.53767678083,3.4718058922039328,3942.4939061420346,1135.574403798049,39.80610728769623,31.046016,31.23377,7.697403,22.421877,21.748087,10.412419
2020-11-01,61.948697,214.865194,241.416595091718,3.4684376654443594,3897.0407253556596,1123.5723692489626,39.564126485832645,30.856794,31.091903,7.607712,22.279984,21.658526,10.402475
2020-12-01,61.361283,212.882157,236.758876556519,3.469323759087632,3858.44077863429,1112.159327456077,39.15890985788925,30.585795,30.775488,7.483961,22.027259,21.463528,10.386535
2021-01-01,61.669349,213.259675,239.956943208549,3.4581145813619663,3891.024424605958,1125.186668358887,39.325318480572776,30.770923,30.898426,7.543503,22.143109,21.563889,10.418848
2021-02-01,61.555021000000004,210.68801,240.515413655539,3.422759127967806,3907.324045191033,1141.5714337780257,39.22229945400768,30.727609,30.827412,7.548692,22.131143,21.509329,10.365857
2021-03-01,62.557333,212.195404,244.207128550659,3.392014873779865,3903.73305317634,1150.8596508087378,39.83037711972252,31.295986,31.261347,7.675222,22.393765,21.848993,10.639353
2021-04-01,62.981572,213.364452,248.020286587939,3.387728270739257,3937.9818367813846,1162.4255318216692,40.069716767615276,31.563432,31.41814,7.758163,22.554882,21.991175,10.677352
2021-05-01,62.558805,211.575683,249.57385522146,3.382028844700598,3989.4281104228257,1179.59612221344,39.7701979901388,31.356784,31.202021,7.735385,22.421111,21.800936,10.601373
2021-06-01,62.509432,211.371568,245.93557871197,3.3814347889131358,3934.3755149138137,1163.5225164813558,39.70830399782403,31.34044,31.168992,7.67826,22.375479,21.800399,10.655294
2021-07-01,62.223742,209.227921,244.882122433001,3.362509458206483,3935.5094142843577,1170.4084295374755,39.52682464609119,31.189059,31.034683,7.66653,22.293124,21.665529,10.598559
2021-08-01,62.248755,208.793611,244.57115357577,3.354181316558058,3928.9324513521597,1171.3536271747798,39.51516268060838,31.263482,30.985273,7.688817,22.286261,21.638175,10.635502
2021-09-01,62.21027,208.459748,245.39762536271,3.3508896199936116,3944.648132257101,1177.194291545963,39.463213812204444,31.176224,31.034046,7.67437,22.272834,21.609515,10.653551
2021-10-01,63.405043,213.268762,253.658626081959,3.3635930504770735,4000.606483019955,1189.3848105235354,40.19308783065821,31.809697,31.595346,7.876415,22.678358,21.983264,10.867006
2021-11-01,64.26967,215.611804,257.882220581078,3.354798678754691,4012.502640531342,1196.0487125328166,40.71278358955872,32.235073,32.034597,8.029306,22.963709,22.226469,11.050186
2021-12-01,63.970854,213.586768,251.949936802298,3.3388137666569215,3938.511385236439,1179.6139768466276,40.495240878866284,32.054439,31.916415,7.993807,22.77077,22.096777,11.1095
2022-01-01,64.817442,219.50181,260.729531726469,3.386462088398984,4022.52115605656,1187.8240627103212,41.00254145451268,32.484546,32.332896,8.184342,23.074751,22.325069,11.23328
2022-02-01,65.169146,221.342388,263.418612402509,3.396429162966168,4042.0755613785236,1190.095646761112,41.196273014041324,32.688611,32.480535,8.295033,23.210111,22.409154,11.254848
2022-03-01,65.693982,223.429013,265.81813192022,3.401057542835506,4046.308715465292,1189.720745533706,41.49907768220885,32.974393,32.719589,8.364398,23.339492,22.595982,11.39411
2022-04-01,66.13267,226.019226,271.629000268546,3.417663705397045,4107.334548394099,1201.7959935343997,41.74705396091678,33.177048,32.955622,8.46949,23.506084,22.728249,11.428847
2022-05-01,66.579818,229.518396,278.270926079969,3.447266797875596,4179.508662519458,1212.4122986637158,41.99999581134372,33.358818,33.221,8.567547,23.66865,22.854408,11.489213
2022-06-01,66.818625,231.314535,281.428834910793,3.4618272225745446,4211.832178689595,1216.6500255195506,42.12122531337778,33.47837,33.340255,8.616469,23.760214,22.922704,11.519238
2022-07-01,67.632289,235.253665,287.657577138793,3.478422340548019,4253.25804274927,1222.754923451641,42.604384327197046,33.923601,33.708688,8.781055,24.0836,23.147033,11.620601
2022-08-01,67.976241,238.202021,289.460282399332,3.504195252573616,4258.256681173824,1215.1881885138669,42.78900901702653,34.106002,33.870239,8.824664,24.178515,23.238884,11.734178
2022-09-01,68.388049,240.88553,295.738608945323,3.5223337048261167,4324.419445644999,1227.7142962689497,43.01600920512249,34.303652,34.084397,8.879526,24.275861,23.371201,11.861461
2022-10-01,69.05664,243.446283,301.499852890932,3.5253131777045623,4365.9791859397155,1238.4656244307168,43.40403662347581,34.619754,34.436886,8.944692,24.469792,23.621664,12.020492
2022-11-01,69.834751,247.026174,311.029293531363,3.537295837139879,4453.789683181702,1259.094485798752,43.86023841702933,35.03579,34.798961,9.007286,24.667211000000002,23.905602,12.254652
2022-12-01,69.429316,247.571853,312.009398463303,3.5658114938076015,4493.914335311945,1260.2781563512513,43.57294926001508,34.8038,34.625516,8.92121,24.464351,23.739347,12.304408
2023-01-01,70.092977,252.099884,323.288672147253,3.596649690025293,4612.28336966274,1282.3832641956033,43.95650944926984,35.173672,34.919305,8.998106,24.695468,23.974515,12.424888
2023-02-01,70.526944,255.380904,326.665062889906,3.6210402651219367,4631.7767985226465,1279.1287749921428,44.19552866374672,35.429039,35.097905,9.064864,24.861186,24.134843,12.466051
2023-03-01,70.707397,258.609588,334.560825705675,3.6574615807169364,4731.624128458229,1293.6907262142,44.275414865609214,35.563036,35.144361,9.057638,24.88602,24.219424,12.544315
2023-04-01,71.439576,261.179474,340.566466107723,3.655949385813824,4767.196072212452,1303.9557086623238,44.70037186062103,35.933123,35.506453,9.144043,25.156353,24.488092,12.651088
2023-05-01,71.903574,264.448208,345.757431083406,3.677817294589557,4808.626495859663,1307.4674761396227,44.95698430684084,36.19717,35.706404,9.178468,25.29549,24.663325,12.766291
2023-06-01,71.453534,262.807106,346.274525823646,3.678014106342171,4846.149748501536,1317.5995546469205,44.64211750288807,35.962027,35.491507,9.080353,25.103933,24.536474,12.732774
2023-07-01,71.419039,265.235409,351.664991925528,3.7137913463103307,4923.967010050751,1325.8598965024612,44.58711980642262,35.978327,35.440712,8.9351,24.998165,24.643504,12.84227
2023-08-01,71.739068,268.869866,355.017320116138,3.7478862424028145,4948.730587301999,1320.405761336371,44.752297618048914,36.167766,35.571302,8.962835,25.109217,24.723763,12.943253
2023-09-01,71.822149,270.526717,366.811893802259,3.7666196398551097,5107.225262812159,1355.917440872426,44.76948850806541,36.202105,35.620044,8.992461,25.129998,24.72521,12.97448
2023-10-01,71.952514,271.366318,376.869962585717,3.7714640241757222,5237.759483785612,1388.786808043425,44.81607189325555,36.265369,35.687145,8.990955,25.170682,24.770368,13.020509
2023-11-01,71.80892,269.855739,378.001358498258,3.757969608789549,5263.988909710075,1400.753454045526,44.69204579469437,36.194557,35.614363,8.951297,25.054207,24.743168,13.060248
2023-12-01,71.102439,267.434117,367.928095927979,3.7612509607441176,5174.619901969593,1375.7709751294708,44.21812416845493,35.806678,35.295761,8.814008,24.633835,24.558668,13.095928
2024-01-01,72.069816,271.370921,382.831796880968,3.7653893968592898,5311.957461927861,1410.7325702777416,44.785059223653775,36.28885,35.780966,8.885525,25.012238,24.864566,13.307487
2024-02-01,72.039263,271.479123,382.259927082958,3.768488345029293,5306.2720406087155,1408.0638056391465,44.73143941395502,36.276381,35.762882,8.887477,25.001615,24.864373,13.285798
2024-03-01,72.894821,274.204845,387.267974045516,3.7616505704842873,5312.695315425989,1412.3308946109833,45.22765873658212,36.727202,36.167619,8.942806,25.229489,25.203777,13.518749
2024-04-01,73.419784,274.610285,394.296408995579,3.740276394711267,5370.438150506939,1435.8399176330158,45.51811860799306,36.976677,36.443107,8.963526,25.359328,25.4153,13.68163
