Data_Trimestre,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2019-10-01,5.053763440860215,47.85666666666667,3.5766666666666667,3.5766666666666667,5.076666666666666,16.563333333333333,7.9799999999999995,14.51,4.036666666666666,,,63.666573666666665,226.556469,255.70878584616665,3.5584636871784796,4016.4478998852096,1128.728119108222,41.123555135424006,31.300709333333334,32.365864333333334,8.530835333333334,23.584252666666668,21.738668999999998,9.812816666666667,11.1,3353,,,,,,,,,,,,,,,,,,,,,
2020-01-01,4.277808676307008,46.32,3.783333333333333,3.783333333333333,5.17,15.833333333333334,8.213333333333333,14.896666666666667,4.216666666666667,,,64.16156666666667,226.80063666666666,257.31399608065135,3.5349570407131674,4010.514703473564,1134.5279156515771,41.327115332991795,31.723719666666664,32.437847,8.584234,23.622421333333335,21.976401,9.978510333333332,12.4,3391,,,,,,,,,,,,,,,,,,,,,
2020-04-01,3.19005376344086,42.333333333333336,3.9466666666666668,3.9466666666666668,5.56,16.553333333333335,8.366666666666667,12.443333333333333,4.216666666666667,,,65.047082,225.68986533333333,253.39910524457568,3.4695932549944466,3895.505165398042,1122.750731657636,41.76813070343899,32.43673266666667,32.61034933333333,8.436819333333334,23.648569666666667,22.545283666666666,10.416409333333332,13.6,3538,,,,,,,,,,,,,,,,,,,,,
2020-07-01,2.096774193548387,38.27666666666667,3.353333333333333,3.353333333333333,4.96,15.796666666666667,6.886666666666667,7.98,4.216666666666667,,,63.10561666666667,219.580886,249.076294027717,3.47960105348548,3946.934260239592,1134.323130121551,40.39598758921713,31.447189333333334,31.658427333333332,7.9516556666666665,22.79921433333333,21.974372,10.380374666666667,14.9,3577,,,,,,,,,,,,,,,,,,,,,
2020-10-01,2,37.29666666666667,3.0066666666666664,3.0066666666666664,4.3933333333333335,13.173333333333334,5.743333333333333,8.656666666666666,4.273333333333333,,,61.863255333333335,214.656893,241.23771614302234,3.469855772245308,3899.3251367106614,1123.7687001676961,39.50971454380604,30.829535,31.03372033333333,7.596358666666667,22.24304,21.623380333333333,10.400476333333334,14.2,3434,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2.1129032258064515,39.21,2.94,2.94,4.14,10.536666666666667,5.316666666666666,12.06,4.226666666666667,,,61.92723433333333,212.04769633333333,241.55982847158234,3.424296194369879,3900.6938409911104,1139.2059176485502,39.45933168476766,30.931506,30.995728333333332,7.589139,22.222672333333332,21.640737,10.474686,14.9,3404,,,,,,,,,,,,,,,,,,,,,
2021-04-01,3.326344086021505,39.49666666666667,2.9566666666666666,2.9566666666666666,4.123333333333333,9.546666666666667,5.296666666666667,13.603333333333333,4.073333333333333,,,62.68326966666667,212.103901,247.84324017378967,3.3837306347843303,3953.9284873726747,1168.5147235054883,39.84940625185937,31.420218666666667,31.263051,7.723936,22.450490666666667,21.864169999999998,10.644673000000001,14.2,3308,,,,,,,,,,,,,,,,,,,,,
2021-07-01,4.9625448028673835,39.593333333333334,2.9699999999999998,2.9699999999999998,4.216666666666667,10.506666666666668,5.126666666666667,12.95,4.12,,,62.227589,208.82709333333332,244.95030045716032,3.355860131586051,3936.363332631206,1172.9854494194062,39.501733712968004,31.209588333333333,31.018000666666666,7.6765723333333336,22.284073,21.637739666666665,10.629204,12.7,3174,,,,,,,,,,,,,,,,,,,,,
2021-10-01,7.685483870967742,43.35666666666667,3.0166666666666666,3.0166666666666666,4.366666666666666,10.416666666666666,5.126666666666666,13.003333333333334,4.35,,,63.88185566666667,214.155778,254.49692782177834,3.3524018319628954,3983.873502929245,1188.3491666343266,40.467037433027734,32.03306966666667,31.848786,7.966509333333334,22.804279,22.10217,11.008897333333334,11.1,3061,,,,,,,,,,,,,,,,,,,,,
2022-01-01,10.37557603686636,47.163333333333334,3.3633333333333333,3.3633333333333333,4.823333333333333,11.04,5.693333333333333,13.123333333333333,4.883333333333333,,,65.22685666666666,221.42440366666668,263.3220920163993,3.394649598066886,4036.9684776334584,1189.213485001713,41.23263071692095,32.71585,32.51100666666667,8.281257666666667,23.208118,22.443401666666666,11.294079333333334,11.1,3106,,,,,,,,,,,,,,,,,,,,,
